---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|     Src IP address      | Src port |     Dst IP address      | Dst port | Layer 4 | Layer 7 |   Packets  |   Bytes    |  Initial timestamp  |   Final timestamp   |
|             240e:f7:4019:12::2              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   37292  |   TCP   |  HTTPS  |         5  |    124     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43338  |             240e:f7:4019:12::3              |     443  |   TCP   |  HTTPS  |         3  |     84     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|             240e:f7:4019:12::3              |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   43338  |   TCP   |  HTTPS  |         5  |    124     | 2023-09-15 00:06:15 | 2023-09-15 00:06:16 |
|    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   36360  |            240e:ff:f100:1006::8             |     443  |   TCP   |  HTTPS  |         2  |     40     | 2023-09-15 00:06:27 | 2023-09-15 00:07:13 |
|            240e:ff:f100:1006::8             |     443  |    240e:3b2:3880:de30:ce3c:3024:c956:ab9    |   36360  |   TCP   |  HTTPS  |         2  |     40     | 2023-09-15 00:06:27 | 2023-09-15 00:07:13 |
|      112.26.46.65       |   56604  |       192.168.1.2       |   32924  |   TCP   |  Other  |         3  |     72     | 2023-09-15 00:06:36 | 2023-09-15 00:06:36 |                                        
|       192.168.1.2       |   32924  |      112.26.46.65       |   56604  |   TCP   |  Other  |         2  |    195     | 2023-09-15 00:06:36 | 2023-09-15 00:06:36 |                                        
|      112.26.46.65       |   56604  |       192.168.1.2       |   32926  |   TCP   |  Other  |         3  |     72     | 2023-09-15 00:06:36 | 2023-09-15 00:06:36 |                                        
|       192.168.1.2       |   32926  |      112.26.46.65       |   56604  |   TCP   |  Other  |         2  |    122     | 2023-09-15 00:06:36 | 2023-09-15 00:06:36 |                                        
|       192.168.1.2       |   50190  |      183.36.23.100      |     443  |   TCP   |  HTTPS  |         2  |     64     | 2023-09-15 00:06:41 | 2023-09-15 00:07:13 |                                        
|      183.36.23.100      |     443  |       192.168.1.2       |   50190  |   TCP   |  HTTPS  |         2  |     64     | 2023-09-15 00:06:41 | 2023-09-15 00:07:13 |                                        
|       192.168.1.2       |   39285  |        223.5.5.5        |      53  |   UDP   |   DNS   |         1  |     37     | 2023-09-15 00:06:41 | 2023-09-15 00:06:41 |                                        
|       192.168.1.2       |   39237  |     114.114.114.114     |      53  |   UDP   |   DNS   |         1  |     37     | 2023-09-15 00:06:41 | 2023-09-15 00:06:41 |                                        
